CELL-UNIT;ARC_ON_CODE;ARC_OFF_CODE;UNIT_NAME;WELD_WIRE_FEED;WELD_CURRENT;WELD_VOLTAGE;WELD_CHARACTERISTIC;UNIT_MECHS
EASY_ARC;ASDP;AEDP;UNIT1-A;20;150;27;4;1
EASY_ARC_ST2;ASWBPL;AEWBPL;NVT8-A;20;150;27;4;1
COMPACT-ARC-PRO;ASDP;AEDP;UNIT1-A;20;150;27;4;1,2
COMPACT-ARC-PRO-R-WP;ASDP;AEDP;UNIT1-A;20;150;27;4;1,2,4,5
COMPACT-ARC-STD;ASDP;AEDP;UNIT1-A;20;150;27;4;1
CUBE1-5_ST_1;ASWBPL;AEWBPL;ST_1-A;22;160;28;4;1,2
CUBE1-5_ST_2;ASWBPL;AEWBPL;ST_2-A;22;160;28;4;1,3
CUBE6_ST_1;ASWBPL;AEWBPL;ST_1-A;22;160;28;4;1,2,3
CUBE6_ST_2;ASWBPL;AEWBPL;ST_2-A;22;160;28;4;1,2,4
CPLX-RPG;ASWBPL;AEWBPL;RPG-A;22;160;28;4;1,2,3
CPLX-RG;ASWBPL;AEWBPL;RG-A;22;160;28;4;1,2
CPLX-RP;ASWBPL;AEWBPL;RP-A;22;160;28;4;1,3
CPLX-R;ASWBPL;AEWBPL;R-A;22;160;28;4;1
VARSTROY-RGP;ASWBPL;AEWBPL;QT+TOUCH-A;22;160;28;4;1,2,4
