RH_Strategy;Count_Of_Runs;1_Rotation;1_Offset Y;1_Offset Z;1_Enable_App;1_Enable_Ret;2_Rotation;2_Offset Y;2_Offset Z;2_Enable_App;2_Enable_Ret;3_Rotation;3_Offset Y;3_Offset Z;4_Enable_App;3_Enable_Ret;4_Rotation;4_Offset Y;4_Offset Z;4_Enable_App;4_Enable_Ret;5_Rotation;5_Offset Y;5_Offset Z;5_Enable_App;5_Enable_Ret;6_Rotation;6_Offset Y;6_Offset Z;6_Enable_App;6_Enable_Ret;7_Rotation;7_Offset Y;7_Offset Z;7_Enable_App;7_Enable_Ret;8_Rotation;8_Offset Y;8_Offset Z;8_Enable_App;8_Enable_Ret;9_Rotation;9_Offset Y;9_Offset Z;9_Enable_App;9_Enable_Ret;10_Rotation;10_Offset Y;10_Offset Z;10_Enable_App;10_Enable_Ret
3_Runs;3;45;0;0;1;0;55;1.50;5;0;0;30;5;1.50;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2_Runs;2;45;0;0;1;0;55;1.50;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1_Run;1;45;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3_Runs_noAppRet;3;45;0;0;0;0;55;1.50;5;0;0;30;5;1.50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2_Runs_noAppRet;2;45;0;0;0;0;55;1.50;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1_Run_noAppRet;1;45;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3_Runs_AppRet;3;45;0;0;1;1;55;1.50;5;1;1;30;5;1.50;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2_Runs_AppRet;2;45;0;0;1;1;55;1.50;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1_Run_AppRet;1;45;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
