ProgrammNr;ArcDataName;ArcSet_Amp;ArcSet_Volt;ArcSet_Speed;Crater_Amp;Crater_Volt;Crater_Time
1;Stahl_T1;249;27,2;0.65;120;17.4;1.50
2;Stahl_T1,5;113;23;0.6;120;17;1.6
3;Stahl_T2;240;25.9;0.65;100;17.0;0.60
4;Stahl_T3;211;21.7;0.75;100;17.0;0.40
5;Stahl_T4;165;18.7;0.85;100;17.0;0.90
6;Stahl_T5;201;20.8;0.75;100;17.0;0.80
7;Stahl_T6;249;27.2;0.65;120;17.4;1.50
8;Stahl_T7,5;113;23;0.6;120;17;1.6
9;Stahl_T8;240;25.9;0.65;100;17.0;0.60
10;Stahl_T9;211;21.7;0.75;100;17.0;0.4
11;Stahl_T10;165;18.7;0.85;100;17.0;0.90
12;Stahl_T11;201;20.8;0.75;100;17.0;0.80
13;Stahl_T12;249;27.2;0.65;120;17.4;1.50
14;Stahl_I1;113;23;0.6;120;17;1.6
15;Stahl_I1,5;113;23;0.6;120;17;1.6
16;Stahl_I2;240;25.9;0.65;100;17.0;0.60
17;Stahl_I3;211;21.7;0.75;100;17.0;0.40
18;Stahl_I4;165;18.7;0.85;100;17.0;0.90
19;Stahl_I5;201;20.8;0.75;100;17.0;0.80
20;Stahl_I6;113;23;0.6;120;17;1.6
21;Stahl_I7;113;23;0.6;120;17;1.6
22;Stahl_I8;240;25.9;0.65;100;17.0;0.60
23;Stahl_I9;211;21.7;0.75;100;17.0;0.40
24;Stahl_I10;165;18.7;0.85;100;17.0;0.90
25;Stahl_I11;201;20.8;0.75;100;17.0;0.80
26;Stahl_I12;165;18.7;0.85;100;17.0;0.90
