Tablename;IndexNumber
#1,Steel- Carbon,AIR,NORMAL,cut,0.04;1
#2,Steel- Carbon,AIR,NORMAL,cut,0.05;2
#3,Steel- Carbon,AIR,NORMAL,cut,0.06;3
#4,Steel- Carbon,AIR,NORMAL,cut,0.07;4
#5,Steel- Carbon,AIR,NORMAL,cut,0.08;5
#6,Steel- Carbon,NITROGEN,NORMAL,cut,0.04;6
#7,Steel- Carbon,NITROGEN,NORMAL,cut,0.05;7
#8,Steel- Carbon,NITROGEN,NORMAL,cut,0.06;8
#9,Steel- Carbon,NITROGEN,NORMAL,cut,0.07;9
#10,Steel- Carbon,NITROGEN,NORMAL,cut,0.08;10
#11,Steel- Carbon,NITROGEN,NORMAL,cut,0.04;11
#12,Steel- Carbon,NITROGEN,NORMAL,cut,0.05;12
#13,Steel- Carbon,NITROGEN,NORMAL,cut,0.06;13
#14,Steel- Carbon,NITROGEN,NORMAL,cut,0.07;14
#15,Steel- Carbon,NITROGEN,NORMAL,cut,0.08;15
#16,Magnesium,NITROGEN,NORMAL,cut,0.04;16
#17,Magnesium,NITROGEN,NORMAL,cut,0.05;17
#18,Magnesium,NITROGEN,NORMAL,cut,0.59;18
#19,Magnesium,NITROGEN,NORMAL,cut,0.07;19
#20,Magnesium,NITROGEN,NORMAL,cut,0.08;20
#21,Steel- Carbon,AIR,SMALL,cut,0.04;21
#22,Steel- Carbon,AIR,SMALL,cut,0.05;22
#23,Steel- Carbon,AIR,SMALL,cut,0.06;23
#24,Steel- Carbon,AIR,SMALL,cut,0.07;24
#25,Steel- Carbon,AIR,SMALL,cut,0.08;25
#26,Steel- Carbon,NITROGEN,SMALL,cut,0.04;26
#27,Steel- Carbon,NITROGEN,SMALL,cut,0.05;27
#28,Steel- Carbon,NITROGEN,SMALL,cut,0.03;28
#29,Steel- Carbon,NITROGEN,SMALL,cut,0.07;29
#30,Steel- Carbon,NITROGEN,SMALL,cut,0.08;30
#31,Steel- Carbon,NITROGEN,SMALL,cut,0.04;31
#32,Steel- Carbon,NITROGEN,SMALL,cut,0.05;32
#33,Steel- Carbon,NITROGEN,SMALL,cut,0.06;33
#34,Steel- Carbon,NITROGEN,SMALL,cut,0.07;34
#35,Steel- Carbon,NITROGEN,SMALL,cut,0.08;35
#36,Magnesium,NITROGEN,SMALL,cut,0.04;36
#37,Magnesium,NITROGEN,SMALL,cut,0.05;37
#38,Magnesium,NITROGEN,SMALL,cut,0.06;38
#39,Magnesium,NITROGEN,SMALL,cut,0.07;39
#40,Magnesium,NITROGEN,SMALL,cut,0.08;40
#41,Steel- Stainless,SHOP AIR E,,cut,4.00;41
#42,Steel- Stainless,SHOP AIR C,,cut,4.00;42
#43,Steel- Stainless,NO GAS CUT,,cut,4.00;43
#44,Steel- Stainless,NO GAS ETC,,cut,4.00;44
#45,Steel- Stainless,NO GAS ETC,LIGHT NG,cut,0.50;45
#46,Steel- Stainless,SHOP AIR C,SLOW CUT,cut,4.00;46
#47,Aluminum,HEAT SHI,N2 CUT,cut,0.20;47
